t,vx,wz
7.967,0.125,0.16
8.007,0.2189,0.32
8.066,0.2189,0.48
8.107,0.2189,0.64
8.167,0.2189,0.8
8.207,0.26,0.96
8.267,0.2463,1.12
8.307,0.2463,1.28
8.367,0.2326,1.4368
8.407,0.2463,1.2768
8.467,0.2463,1.2453
8.506,0.2463,1.2453
8.567,0.2463,1.2453
8.606,0.26,1.0853
8.667,0.2463,1.0537
8.706,0.2463,1.0537
8.756,0.2463,1.0537
8.816,0.2463,1.0537
8.857,0.2326,1.0537
8.916,0.26,1.0537
8.957,0.26,1.0537
9.017,0.2326,0.8937
9.057,0.2326,0.7337
9.117,0.2326,0.6705
9.157,0.2189,0.6705
9.217,0.26,0.5105
9.257,0.26,0.4789
9.316,0.2463,0.4789
9.357,0.2463,0.4789
9.406,0.2326,0.4789
9.467,0.2326,0.4789
9.506,0.2326,0.4789
9.567,0.2463,0.3189
9.606,0.26,0.2874
9.667,0.26,0.2874
9.707,0.2463,0.2874
9.767,0.2463,0.2874
9.806,0.2326,0.2874
9.868,0.26,0.2874
9.907,0.26,0.2874
9.967,0.2463,0.2874
10.007,0.2463,0.2874
10.046,0.26,0.2874
10.116,0.2463,0.1274
10.157,0.2463,0.0958
10.217,0.26,0.0
10.256,0.26,0.0
10.296,0.2463,0.0
10.367,0.2463,0.0
10.407,0.2463,0.0
10.467,0.2463,0.0
10.508,0.2463,0.0
10.567,0.2463,0.0958
10.607,0.2326,0.0
10.667,0.26,0.0958
10.717,0.26,0.0958
10.746,0.2463,0.0958
10.816,0.2326,0.0
10.846,0.26,0.0
10.907,0.26,0.0
10.966,0.2463,0.0
11.017,0.2326,0.0
11.058,0.26,0.0958
11.127,0.26,0.0958
11.157,0.26,0.2558
11.217,0.2463,0.2874
11.257,0.26,0.1274
11.317,0.26,0.0958
11.356,0.2463,0.0958
11.417,0.2463,0.0958
11.467,0.26,0.0958
11.507,0.26,0.0958
11.567,0.2463,0.0958
11.607,0.2463,0.0958
11.667,0.26,0.0958
11.707,0.26,0.0958
11.767,0.2463,0.0958
11.807,0.2463,0.0958
11.867,0.2326,0.0958
11.918,0.2326,0.0958
11.977,0.2189,0.0958
12.018,0.2189,0.0958
12.06,0.2053,0.0958
12.124,0.26,0.0
12.17,0.26,0.0
12.219,0.26,0.0
12.289,0.26,0.0
12.318,0.2463,0.0
12.357,0.2463,0.0
12.407,0.2463,0.0
12.469,0.2326,0.0
12.518,0.2326,0.0
12.56,0.2326,0.0
12.608,0.2189,0.0
12.668,0.2189,0.0
12.719,0.2189,0.0
12.748,0.2053,0.0
12.808,0.2053,0.0
12.869,0.1916,0.0
12.917,0.1916,0.0
12.978,0.1916,0.0
13.008,0.1916,0.0
13.068,0.1779,0.0
13.127,0.1779,0.0
13.158,0.26,0.0958
13.219,0.26,0.0958
13.258,0.26,0.0
13.329,0.2463,0.0
13.357,0.2463,0.0
13.419,0.2463,0.0
13.489,0.2463,0.0
13.521,0.26,0.0
13.578,0.26,0.0
13.609,0.26,0.0
13.69,0.2463,0.0
13.719,0.2463,0.0
13.757,0.2463,0.0
13.829,0.26,0.0
13.869,0.26,0.0
13.909,0.26,0.0
13.979,0.26,0.0
14.008,0.2463,0.0
14.068,0.2463,0.0
14.118,0.2463,0.0
14.158,0.26,0.0
14.208,0.26,0.0
14.289,0.26,0.0
14.33,0.2463,0.0
14.371,0.2463,0.0958
14.408,0.2463,0.0
14.468,0.2463,0.0
14.528,0.26,0.0
14.558,0.26,0.0958
14.618,0.26,0.0958
14.658,0.26,0.0958
14.717,0.2463,0.0958
14.779,0.2463,0.0958
14.819,0.26,0.0
14.847,0.26,0.0
14.918,0.26,0.0
14.979,0.26,0.0
15.018,0.2463,0.0
15.078,0.2463,0.0
15.108,0.2326,0.0
15.157,0.26,-0.0958
15.228,0.26,-0.0958
15.258,0.26,-0.0958
15.32,0.2463,0.0
15.369,0.2463,0.0
15.428,0.2463,0.0
15.458,0.26,0.0
15.528,0.26,0.0
15.558,0.26,0.0
15.628,0.2463,-0.0958
15.66,0.2463,-0.0958
15.728,0.2463,-0.0958
15.769,0.2326,-0.0958
15.82,0.26,0.0
15.888,0.26,0.0
15.919,0.26,0.0
15.958,0.2463,0.0
16.028,0.2463,-0.0958
16.059,0.2463,-0.0958
16.119,0.2326,-0.0958
16.159,0.26,-0.0958
16.219,0.26,-0.0958
16.248,0.26,-0.0958
16.328,0.2463,-0.0958
16.368,0.2463,-0.0958
16.411,0.2463,-0.0958
16.46,0.2326,-0.0958
16.528,0.2326,-0.0958
16.558,0.2326,-0.0958
16.629,0.2326,-0.0958
16.66,0.2189,-0.0958
16.727,0.2189,-0.0958
16.769,0.2326,-0.0958
16.829,0.2189,-0.0958
16.859,0.2189,-0.0958
16.93,0.2053,-0.0958
16.969,0.2053,-0.0958
16.997,0.1916,-0.0958
17.068,0.1779,-0.0958
17.119,0.1779,-0.0958
17.188,0.1642,-0.0958
17.218,0.1642,-0.0958
17.248,0.1505,-0.0958
17.318,0.1505,-0.0958
17.358,0.1505,-0.0958
17.428,0.1368,-0.0958
17.469,0.1368,-0.0958
17.508,0.1368,-0.0958
17.58,0.1368,-0.0958
17.61,0.1368,-0.0958
17.671,0.1232,-0.0958
17.708,0.1505,-0.0958
17.769,0.1232,-0.0958
17.808,0.0,-0.2558
17.879,0.0,-0.4158
17.928,0.0,-0.5758
17.96,0.0,-0.7358
18.018,0.0,-0.8621
18.08,0.0,-0.8621
18.108,0.0,-0.8621
18.17,0.0,-0.8621
18.218,0.0,-0.8621
18.292,0.0,-0.8621
18.318,0.0,-0.8621
18.369,0.0,-0.7021
18.428,0.0,-0.6705
18.479,0.0,-0.6705
18.508,0.0,-0.6705
18.571,0.0,-0.6705
18.599,0.125,-0.5105
18.669,0.1505,-0.3505
18.729,0.1505,-0.1905
18.757,0.1505,-0.0305
18.818,0.0255,-0.1905
18.86,0.0,-0.3505
18.94,0.0,-0.5105
18.979,0.0,-0.6705
19.017,0.0,-0.6705
19.078,0.0,-0.6705
19.12,0.0,-0.6705
19.158,0.0,-0.6705
19.221,0.0,-0.6705
19.272,0.0,-0.6705
19.309,0.0,-0.6705
19.368,0.0,-0.6705
19.409,0.0,-0.5105
19.458,0.0,-0.4789
19.529,0.0,-0.4789
19.558,0.0,-0.4789
19.609,0.0,-0.4789
19.688,0.0,-0.4789
19.719,0.125,-0.3189
19.779,0.1642,-0.1589
19.828,0.1505,0.0011
19.848,0.1505,0.1611
19.929,0.1505,0.3211
19.96,0.1505,0.4811
20.03,0.1505,0.6411
20.06,0.1505,0.6705
20.128,0.1505,0.6705
20.147,0.0255,0.5105
20.218,0.0,0.3505
20.26,0.0,0.1905
20.332,0.0,0.0305
20.358,0.0,-0.1295
20.43,0.0,-0.2895
20.458,0.0,-0.4495
20.52,0.0,-0.4789
20.589,0.0,-0.4789
20.619,0.0,-0.4789
20.67,0.0,-0.4789
20.728,0.0,-0.4789
20.747,0.0,-0.4789
20.818,0.0,-0.4789
20.878,0.0,-0.4789
20.908,0.0,-0.4789
20.968,0.0,-0.4789
21.029,0.0,-0.4789
21.059,0.0,-0.4789
21.118,0.0,-0.4789
21.158,0.0,-0.4789
21.229,0.0,-0.4789
21.259,0.0,-0.4789
21.309,0.0,-0.4789
21.378,0.0,-0.4789
21.408,0.0,-0.4789
21.458,0.0,-0.4789
21.54,0.0,-0.4789
21.582,0.0,-0.3189
21.608,0.0,-0.1589
21.669,0.0,0.0
21.729,0.0,0.0
21.758,0.0,0.0
21.809,0.0,0.0
21.859,0.0,0.0
21.919,0.0,0.0
21.979,0.0,0.0
22.009,0.0,0.0
22.078,0.0,0.0
22.109,0.0,0.0
22.169,0.0,0.0
22.239,0.0,0.0
