t,vx,wz
6.983,0.125,-0.16
7.047,0.2326,-0.32
7.084,0.26,-0.48
7.145,0.26,-0.64
7.185,0.26,-0.8
7.255,0.26,-0.96
7.294,0.2326,-1.12
7.367,0.2326,-1.28
7.397,0.2326,-1.44
7.436,0.2326,-1.6
7.506,0.2189,-1.44
7.534,0.2189,-1.4368
7.605,0.2189,-1.4368
7.634,0.2189,-1.4368
7.706,0.2189,-1.4368
7.754,0.26,-1.2768
7.785,0.26,-1.2453
7.856,0.2463,-1.0853
7.896,0.2326,-1.0537
7.935,0.2326,-1.0537
7.994,0.2326,-1.0537
8.045,0.26,-1.0537
8.087,0.2463,-0.8937
8.147,0.2463,-0.8621
8.174,0.2463,-0.8621
8.246,0.2463,-0.8621
8.284,0.2326,-0.8621
8.345,0.2326,-0.8621
8.386,0.2326,-0.8621
8.465,0.2326,-0.8621
8.506,0.2326,-0.8621
8.546,0.26,-0.8621
8.576,0.26,-0.8621
8.646,0.2463,-0.8621
8.684,0.2463,-0.8621
8.735,0.2463,-0.8621
8.817,0.2463,-0.8621
8.855,0.2463,-0.8621
8.897,0.2463,-0.8621
8.935,0.2326,-0.8621
9.005,0.2326,-0.8621
9.065,0.2326,-0.8621
9.107,0.26,-0.7021
9.134,0.2463,-0.6705
9.205,0.2326,-0.6705
9.246,0.2326,-0.6705
9.286,0.26,-0.6705
9.347,0.26,-0.6705
9.406,0.26,-0.5105
9.446,0.26,-0.4789
9.526,0.26,-0.4789
9.549,0.26,-0.4789
9.585,0.26,-0.4789
9.635,0.26,-0.4789
9.695,0.2463,-0.4789
9.735,0.2463,-0.4789
9.795,0.26,-0.4789
9.834,0.2463,-0.4789
9.917,0.2463,-0.4789
9.946,0.2463,-0.4789
9.985,0.2326,-0.4789
10.056,0.2326,-0.4789
10.095,0.2189,-0.4789
10.135,0.2189,-0.4789
10.207,0.2189,-0.4789
10.248,0.26,-0.4789
10.285,0.26,-0.4789
10.356,0.2463,-0.4789
10.384,0.2463,-0.4789
10.455,0.2053,-0.4789
10.494,0.2053,-0.4789
10.557,0.2053,-0.4789
10.596,0.2053,-0.4789
10.645,0.2053,-0.4789
10.715,0.1916,-0.4789
10.747,0.1916,-0.4789
10.786,0.1916,-0.4789
10.856,0.1779,-0.3189
10.885,0.1779,-0.2874
10.935,0.1642,-0.2874
