t,vx,wz
1.682,0.006,0.0278
1.712,0.0064,0.0654
1.78,-0.0196,0.022
1.835,-0.0196,0.022
1.855,-0.0133,-0.0142
1.915,-0.0002,-0.0077
1.968,0.0058,-0.0163
2.037,0.0036,0.0313
2.086,0.0093,0.0131
2.114,-0.0183,-0.0274
2.175,-0.0046,-0.0529
2.205,-0.0037,-0.0871
2.271,0.0077,-0.0812
2.325,0.0027,-0.0412
2.354,0.0024,-0.0059
2.437,-0.0232,-0.0423
2.475,-0.0354,-0.0566
2.517,-0.0156,-0.0796
2.575,-0.008,-0.1051
2.615,0.0019,-0.1051
2.654,-0.0037,-0.0549
2.727,-0.0025,-0.026
2.756,0.0024,-0.0303
2.835,-0.0228,-0.0597
2.856,-0.008,-0.0888
2.904,-0.0004,-0.0816
2.985,0.0059,-0.0932
3.019,0.0019,-0.0454
3.076,0.001,-0.0112
3.105,0.0076,-0.0154
3.167,-0.0183,-0.0442
3.234,-0.0032,-0.073
3.264,0.0013,-0.0704
3.337,0.0041,-0.0679
3.364,0.0018,-0.0265
3.394,0.0074,-0.0411
3.486,-0.0193,-0.064
3.515,-0.0312,-0.0904
3.555,-0.0119,-0.1135
3.616,-0.0034,-0.1166
3.654,0.0022,-0.1275
3.716,-0.0008,-0.0827
3.786,-0.0016,-0.0542
3.816,-0.0248,-0.0872
3.88,-0.0086,-0.1139
3.916,-0.0053,-0.1485
3.974,0.0048,-0.149
4.036,0.0045,-0.1498
4.074,0.0003,-0.1083
4.105,-0.0013,-0.0782
4.175,-0.0245,-0.112
4.215,-0.0355,-0.1292
4.266,-0.0152,-0.1494
4.305,-0.006,-0.1683
4.344,0.0051,-0.173
4.405,0.0003,-0.1304
4.456,0.0,-0.1009
4.518,-0.0022,-0.0602
4.557,-0.0021,-0.0237
4.616,-0.0228,-0.0611
4.665,-0.0228,-0.0611
4.705,-0.0383,-0.0924
4.757,-0.0164,-0.1152
4.805,-0.0035,-0.1174
4.855,0.004,-0.129
4.904,0.0009,-0.0839
4.955,0.001,-0.0583
5.004,0.0012,-0.0153
5.097,0.0083,-0.0276
5.13,-0.0153,-0.054
5.196,-0.027,-0.0764
5.199,-0.0066,-0.1023
5.277,0.0032,-0.0949
5.316,0.008,-0.1119
5.375,0.0109,-0.1221
5.425,0.0085,-0.0797
5.477,0.0059,-0.0482
5.528,0.0121,-0.0711
5.587,-0.0114,-0.1063
5.636,-0.0234,-0.1216
5.687,-0.0027,-0.1452
5.738,0.0085,-0.1414
5.777,0.0099,-0.1511
5.826,0.0102,-0.1675
5.875,0.0031,-0.133
5.904,0.0002,-0.0989
5.997,0.0052,-0.1163
6.031,0.0,0.0
6.065,0.0,0.0
6.106,0.0,0.0
6.146,0.0,0.0
6.224,0.0,0.0
6.264,0.0,0.0
6.337,0.0,0.0
6.407,0.0,0.0
6.431,0.0,0.0
6.484,0.0,0.0
6.526,0.0,0.0
6.58,0.0,0.0
6.626,0.0152,-0.0035
6.675,0.0339,-0.0111
6.716,0.0382,0.0348
6.753,0.0426,0.0617
6.83,0.0493,0.0538
6.876,0.0493,0.0538
6.925,0.0111,-0.0026
6.987,0.0111,-0.0026
7.047,0.0383,-0.0034
7.101,0.0383,-0.0034
7.156,0.0421,-0.0114
7.156,0.0422,0.0338
7.206,0.0422,0.0338
7.257,0.0479,0.0677
7.296,0.052,0.1042
7.354,0.0562,0.0801
7.438,0.0139,0.0248
7.476,0.0256,0.0037
7.515,0.0256,0.0037
7.554,0.0478,0.0056
7.615,0.049,0.0489
7.664,0.049,0.0489
7.706,0.0565,0.0725
7.785,0.0565,0.0725
7.814,0.0119,0.0083
7.875,0.03,0.0213
7.904,0.0349,0.0099
7.956,0.0349,0.0099
8.048,0.0418,0.0606
8.049,0.0477,0.0842
8.096,0.0509,0.1007
8.175,0.0183,0.0397
8.215,0.0269,0.0212
8.257,0.0293,0.0172
8.346,0.0377,0.0101
8.369,0.0411,0.0079
8.406,0.0424,0.0525
8.466,0.0438,0.0788
8.514,0.0438,0.0788
8.554,-0.0035,0.024
8.624,0.0097,0.005
8.677,0.0128,-0.0307
8.725,0.0128,-0.0307
8.764,0.0276,-0.0192
8.806,0.0137,0.0143
8.876,0.0072,0.0482
8.914,0.0042,0.0405
8.997,-0.023,0.0154
9.017,-0.0167,-0.0143
9.053,-0.014,-0.0139
9.125,-0.014,-0.0139
9.165,-0.0083,-0.022
9.226,-0.0099,0.0605
9.255,-0.0052,0.0339
9.315,-0.0298,0.015
9.354,-0.021,-0.0188
9.415,-0.0174,-0.0142
9.455,-0.0134,0.0275
9.517,-0.0084,0.06
9.565,-0.0084,0.06
9.605,-0.0281,0.0255
9.689,-0.0417,0.0059
9.715,-0.0344,-0.0271
9.765,-0.0344,-0.0271
9.817,-0.0232,-0.0242
9.854,-0.0185,0.0106
9.904,-0.0138,0.0459
9.975,-0.007,0.0391
10.025,-0.007,0.0391
10.054,-0.0198,-0.0169
10.107,-0.0198,-0.0169
10.146,-0.015,-0.0376
10.215,-0.0107,-0.0511
10.255,-0.0098,-0.0043
10.325,-0.0077,0.0278
10.387,-0.0077,0.0278
10.415,-0.0285,-0.009
10.465,-0.0272,-0.0517
10.505,-0.0194,-0.0749
10.555,-0.0098,-0.0789
10.614,-0.0089,-0.0939
10.653,-0.0096,-0.0497
10.715,-0.0082,-0.0212
10.759,-0.0082,-0.0212
10.804,-0.0391,-0.0714
10.896,-0.0485,-0.0859
10.917,-0.0574,-0.114
10.966,-0.0574,-0.114
11.026,-0.0328,-0.128
11.044,-0.0177,-0.1341
11.104,-0.0336,-0.1754
11.154,-0.0427,-0.1994
11.225,-0.0427,-0.1994
11.254,-0.0461,-0.2247
11.326,-0.0461,-0.2247
11.354,-0.0146,-0.224
11.415,-0.0015,-0.2362
11.454,-0.0015,-0.2362
11.526,-0.0249,-0.3096
11.575,-0.0267,-0.3169
11.614,-0.0269,-0.3173
11.675,-0.0305,-0.3339
11.715,-0.0141,-0.3357
11.764,-0.0029,-0.3501
11.815,-0.0029,-0.3501
11.865,-0.0139,-0.3908
11.904,-0.0117,-0.3942
11.965,-0.0099,-0.409
12.005,-0.0099,-0.409
12.064,-0.0018,-0.4287
12.106,0.019,-0.4174
12.165,0.0314,-0.4237
12.205,0.0282,-0.4494
12.274,0.0284,-0.4656
12.305,0.0305,-0.4797
12.364,0.0351,-0.4919
12.405,0.0544,-0.4831
12.444,0.067,-0.4867
12.538,0.0755,-0.4843
12.564,0.0588,-0.4997
12.605,0.0626,-0.5134
12.655,0.0628,-0.5282
12.725,0.0688,-0.5376
12.764,0.0743,-0.5469
12.793,0.0936,-0.5345
12.865,0.0936,-0.5345
12.906,0.1098,-0.5164
12.975,0.0974,-0.551
13.015,0.0974,-0.551
13.054,0.1081,-0.5656
13.127,0.1166,-0.5655
13.153,0.1355,-0.5477
13.226,0.1517,-0.5271
13.253,0.1633,-0.5023
13.327,0.1651,-0.5264
13.363,0.1713,-0.5233
13.404,0.1754,-0.5346
13.475,0.1813,-0.5339
13.515,0.1813,-0.5339
13.586,0.2037,-0.4952
13.637,0.2037,-0.4952
13.664,0.1977,-0.5202
13.707,0.1977,-0.5242
13.766,0.1995,-0.5343
13.836,0.2057,-0.5315
13.864,0.2147,-0.5146
13.914,0.2211,-0.4914
13.976,0.2235,-0.4666
14.026,0.2235,-0.4666
14.064,0.2135,-0.4804
14.105,0.217,-0.4804
14.164,0.22,-0.4838
14.226,0.2277,-0.4655
14.254,0.231,-0.4466
14.313,0.231,-0.4466
14.354,0.2274,-0.4427
14.415,0.2248,-0.4539
14.454,0.2248,-0.4539
14.505,0.2311,-0.4436
14.564,0.2311,-0.4436
14.624,0.229,-0.4036
14.656,0.2261,-0.4321
14.704,0.2259,-0.4305
14.766,0.2271,-0.4401
14.804,0.2327,-0.4221
14.875,0.236,-0.4129
14.915,0.236,-0.4129
14.955,0.2291,-0.3757
15.027,0.2231,-0.4041
15.065,0.2201,-0.4018
15.115,0.2201,-0.4018
15.153,0.2177,-0.4132
15.205,0.2236,-0.3966
15.265,0.2242,-0.3829
15.308,0.2242,-0.3829
15.356,0.1981,-0.3412
15.416,0.1866,-0.3557
15.467,0.1866,-0.3557
15.516,0.1892,-0.3578
15.554,0.1923,-0.3642
15.604,0.1923,-0.3642
15.655,0.2064,-0.3426
15.736,0.2064,-0.3426
15.785,0.2066,-0.3332
15.857,0.2025,-0.3178
15.908,0.1952,-0.2633
15.934,0.178,-0.3162
15.988,0.178,-0.3162
16.028,0.1793,-0.3298
16.065,0.1889,-0.3128
16.117,0.1889,-0.3128
16.156,0.1924,-0.3088
16.239,0.1887,-0.2476
16.296,0.178,-0.2118
16.339,0.1607,-0.2446
16.365,0.1685,-0.2768
16.404,0.1772,-0.2615
16.477,0.1821,-0.2612
16.515,0.1821,-0.2612
16.555,0.1787,-0.2003
16.615,0.1666,-0.1653
16.654,0.1608,-0.1794
16.705,0.1548,-0.1819
16.764,0.1632,-0.1827
16.805,0.1632,-0.1827
16.875,0.1662,-0.1791
16.904,0.1662,-0.1791
16.965,0.141,-0.1618
17.005,0.1338,-0.1824
17.053,0.1246,-0.1944
17.116,0.1345,-0.1907
17.155,0.1354,-0.1902
17.208,0.1354,-0.1902
17.296,0.133,-0.1371
17.319,0.1008,-0.1338
17.377,0.1014,-0.144
17.405,0.1139,-0.1449
17.455,0.1227,-0.1477
17.515,0.1227,-0.1477
17.555,0.1165,-0.0961
